id = 70665, departureTime = 2024-08-13 11:50, from = Tokyo, to = Paris, freeSeats = 230
id = 19449, departureTime = 2024-08-13 00:50, from = Tokyo, to = Kyiv, freeSeats = 230
id = 27209, departureTime = 2024-08-13 04:50, from = New York, to = Rome, freeSeats = 230
id = 76276, departureTime = 2024-08-13 07:50, from = Rome, to = Paris, freeSeats = 230
id = 48794, departureTime = 2024-08-14 18:50, from = Berlin, to = Berlin, freeSeats = 230
id = 28348, departureTime = 2024-08-13 16:50, from = Tokyo, to = Kyiv, freeSeats = 230
id = 18933, departureTime = 2024-08-14 18:50, from = Berlin, to = Tokyo, freeSeats = 230
id = 33986, departureTime = 2024-08-14 14:50, from = Paris, to = Kyiv, freeSeats = 230
id = 33769, departureTime = 2024-08-13 07:50, from = New York, to = Tokyo, freeSeats = 230
id = 90486, departureTime = 2024-08-13 01:50, from = New York, to = Kyiv, freeSeats = 230
id = 61447, departureTime = 2024-08-14 08:50, from = Rome, to = Rome, freeSeats = 230
id = 56250, departureTime = 2024-08-12 21:50, from = London, to = Rome, freeSeats = 230
id = 56582, departureTime = 2024-08-14 16:50, from = New York, to = Tokyo, freeSeats = 230
id = 16450, departureTime = 2024-08-13 12:50, from = Berlin, to = Berlin, freeSeats = 230
id = 21605, departureTime = 2024-08-13 17:50, from = Kyiv, to = Paris, freeSeats = 230
id = 69365, departureTime = 2024-08-13 15:50, from = Berlin, to = Paris, freeSeats = 230
id = 50525, departureTime = 2024-08-13 02:50, from = Tokyo, to = Paris, freeSeats = 230
id = 16735, departureTime = 2024-08-13 07:50, from = Kyiv, to = New York, freeSeats = 230
id = 47674, departureTime = 2024-08-14 02:50, from = Berlin, to = Tokyo, freeSeats = 230
id = 37130, departureTime = 2024-08-13 20:50, from = Paris, to = Rome, freeSeats = 230
id = 98042, departureTime = 2024-08-13 15:50, from = London, to = Tokyo, freeSeats = 230
id = 10634, departureTime = 2024-08-13 11:50, from = Tokyo, to = Rome, freeSeats = 230
id = 10896, departureTime = 2024-08-13 06:50, from = Tokyo, to = New York, freeSeats = 230
id = 27560, departureTime = 2024-08-14 16:50, from = London, to = Rome, freeSeats = 230
id = 74357, departureTime = 2024-08-13 03:50, from = Kyiv, to = Berlin, freeSeats = 230
id = 61398, departureTime = 2024-08-14 04:50, from = New York, to = New York, freeSeats = 230
id = 27252, departureTime = 2024-08-13 18:50, from = Berlin, to = Rome, freeSeats = 230
