id = 84153, departureTime = 2024-08-01 15:52, from = Tokyo, to = Rome, freeSeats = 100
id = 95854, departureTime = 2024-08-01 05:52, from = London, to = Rome, freeSeats = 100
id = 46988, departureTime = 2024-07-31 19:52, from = Berlin, to = Berlin, freeSeats = 100
id = 65887, departureTime = 2024-07-31 22:52, from = Kyiv, to = Berlin, freeSeats = 100
id = 89247, departureTime = 2024-08-01 22:52, from = Berlin, to = New York, freeSeats = 100
id = 52753, departureTime = 2024-08-01 14:52, from = Tokyo, to = Paris, freeSeats = 100
id = 92438, departureTime = 2024-08-01 03:52, from = New York, to = Paris, freeSeats = 100
id = 60261, departureTime = 2024-08-02 17:52, from = Paris, to = Tokyo, freeSeats = 100
id = 15608, departureTime = 2024-08-01 05:52, from = Paris, to = Paris, freeSeats = 100
id = 59404, departureTime = 2024-08-01 22:52, from = London, to = Tokyo, freeSeats = 100
id = 11148, departureTime = 2024-08-02 13:52, from = New York, to = Tokyo, freeSeats = 100
id = 81274, departureTime = 2024-08-02 04:52, from = Kyiv, to = Kyiv, freeSeats = 100
id = 22160, departureTime = 2024-08-01 18:52, from = New York, to = Kyiv, freeSeats = 100
id = 25627, departureTime = 2024-08-01 05:52, from = Berlin, to = New York, freeSeats = 100
id = 51846, departureTime = 2024-08-02 17:52, from = Tokyo, to = Tokyo, freeSeats = 100
id = 64424, departureTime = 2024-08-02 07:52, from = Rome, to = Berlin, freeSeats = 100
id = 51394, departureTime = 2024-08-02 12:52, from = New York, to = London, freeSeats = 100
id = 46294, departureTime = 2024-08-01 02:52, from = Rome, to = Berlin, freeSeats = 100
id = 37949, departureTime = 2024-07-31 20:52, from = Rome, to = Rome, freeSeats = 100
id = 61931, departureTime = 2024-08-02 02:52, from = Berlin, to = New York, freeSeats = 100
id = 44239, departureTime = 2024-07-31 19:52, from = London, to = Kyiv, freeSeats = 100
id = 95907, departureTime = 2024-07-31 21:52, from = Tokyo, to = Kyiv, freeSeats = 100
id = 50568, departureTime = 2024-08-02 02:52, from = Rome, to = Rome, freeSeats = 100
id = 40222, departureTime = 2024-08-01 00:52, from = New York, to = Rome, freeSeats = 100
id = 66286, departureTime = 2024-08-01 16:52, from = New York, to = Berlin, freeSeats = 100
id = 92540, departureTime = 2024-07-31 20:52, from = Kyiv, to = Kyiv, freeSeats = 100
id = 63021, departureTime = 2024-08-01 19:52, from = London, to = Berlin, freeSeats = 100
id = 79885, departureTime = 2024-07-31 23:52, from = Kyiv, to = Tokyo, freeSeats = 100
id = 34239, departureTime = 2024-08-01 03:52, from = New York, to = Kyiv, freeSeats = 100
id = 83419, departureTime = 2024-08-02 05:52, from = London, to = Rome, freeSeats = 100
